price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model
42000,170000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2017.0,White, Dubai,Other,nissan,navara
685000,8500,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021.0,Green, Dubai,Carrera 4S,porsche,carrera
105000,191000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,Japanese Specs,200 - 300 HP,Gasoline,Left Hand Side,2005.0,White, Dubai,G 500,mercedes-benz,g-class
169000,71000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018.0,Blue, Dubai,530i M-Kit,bmw,5-series
240000,45972,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6,Automatic Transmission,Other,300 - 400 HP,Gasoline,Left Hand Side,2019.0,Grey, Sharjah,SVT Raptor,ford,f-series-pickup
89900,67428,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2019.0,Brown, Dubai,GLS,mitsubishi,pajero
1950000,1000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2019.0,Red, Dubai,Standard,rolls-royce,phantom
64000,101519,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2013.0,Black, Dubai,Denali,gmc,yukon
75000,85000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013.0,White, Dubai,Special Edition,audi,a7
68000,150000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2015.0,Brown, Dubai,S-line,audi,q7
155000,32000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2020.0,Blue, Sharjah,Luxury,infiniti,q80
43000,100000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2013.0,Black, Ajman,C350,mercedes-benz,c-class
74500,133000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2015.0,Black, Dubai,S Off Road Pack,nissan,xterra
79000,124580,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013.0,Silver, Dubai,LE,nissan,patrol
85000,189000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2015.0,Tan, Dubai,730Li,bmw,7-series
35000,129964,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,European Specs,200 - 300 HP,Gasoline,Left Hand Side,2011.0,Grey, Dubai,535i,bmw,5-series
54500,91000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,Japanese Specs,300 - 400 HP,Gasoline,Left Hand Side,2011.0,Black, Dubai,E 350,mercedes-benz,e-class
245000,27000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2019.0,White, Dubai,Premium,cadillac,escalade
152900,68000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018.0,White, Dubai,VX TOP NAV,toyota,prado
299000,37000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2019.0,Black, Dubai,GLS 500,mercedes-benz,gls-class
16000,273000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2010.0,White, Sharjah,323i,bmw,3-series
54000,118000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2014.0,Grey, Sharjah,Other,jeep,grand-cherokee
32000,96000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2014.0,Grey, Dubai,Highline Plus,volkswagen,passat
73000,43000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,4,Manual Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018.0,Other Color, Dubai,ST,ford,focus
142000,0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6,Automatic Transmission,Other,150 - 200 HP,Gasoline,Left Hand Side,2021.0,White, Dubai,Other,toyota,hilux
38000,96000,Perfect inside and out,Perfect inside and out,Owner,Coupe,4,Manual Transmission,Japanese Specs,150 - 200 HP,Gasoline,Left Hand Side,2012.0,Red,Ajman,Other,fiat,500x
159000,117000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2016.0,White, Dubai,750Li xDrive,bmw,7-series
48000,142000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2015.0,Red, Ajman,Other,cadillac,ats
34000,128000,Perfect inside and out,Perfect inside and out,Owner,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013.0,White, Dubai,XLT,ford,explorer
68000,73298,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2020.0,White, Dubai,Other,kia,cerato
59000,166666,"Normal wear & tear, a few issues",Perfect inside and out,Owner,Coupe,6,Automatic Transmission,North American Specs,300 - 400 HP,Gasoline,Left Hand Side,2015.0,Yellow, Ras Al Khaimah,Standard V6,ford,mustang
166000,78000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2017.0,Black, Dubai,CLS 400,mercedes-benz,cls-class
150000,30000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2020.0,White, Dubai,S 4WD,mini,countryman
265000,49115,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2019.0,Blue, Dubai,Other,maserati,levante
110000,7600,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2021.0,Burgundy, Sharjah,Standard,nissan,rogue
28900,115000,Perfect inside and out,Perfect inside and out,Owner,Hard Top Convertible,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2006.0,Red, Dubai,SLK 200 Kompressor,mercedes-benz,slk-class
145000,18000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2020.0,Blue, Dubai,C300 Luxury,mercedes-benz,c-class
355000,39,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,,Black, Dubai,E 300,mercedes-benz,e-class
99000,31000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018.0,White, Dubai,Standard,alfa-romeo,giulia
1229000,79,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,8,Automatic Transmission,Other,500 - 600 HP,Gasoline,Left Hand Side,,White, Dubai,GTC,bentley,continental
